fips,county,date,report_median,group
26059,Hillsdale,2020-05-29,6,5%
26061,Houghton,2020-05-29,0,5%
26063,Huron,2020-05-29,0,5%
26065,Ingham,2020-05-29,432,5%
26067,Ionia,2020-05-29,96,5%
26069,Iosco,2020-05-29,0,5%
26071,Iron,2020-05-29,0,5%
26073,Isabella,2020-05-29,37,5%
26075,Jackson,2020-05-29,140,5%
26077,Kalamazoo,2020-05-29,42,5%
26079,Kalkaska,2020-05-29,0,5%
26081,Kent,2020-05-29,883,5%
26083,Keweenaw,2020-05-29,0,5%
26085,Lake,2020-05-29,0,5%
26087,Lapeer,2020-05-29,68,5%
26089,Leelanau,2020-05-29,0,5%
26091,Lenawee,2020-05-29,98,5%
26093,Livingston,2020-05-29,297,5%
26095,Luce,2020-05-29,0,5%
26097,Mackinac,2020-05-29,0,5%
26099,Macomb,2020-05-29,1166,5%
26101,Manistee,2020-05-29,0,5%
26103,Marquette,2020-05-29,0,5%
26105,Mason,2020-05-29,0,5%
26107,Mecosta,2020-05-29,42,5%
26109,Menominee,2020-05-29,0,5%
26111,Midland,2020-05-29,2,5%
26113,Missaukee,2020-05-29,0,5%
26115,Monroe,2020-05-29,164,5%
26117,Montcalm,2020-05-29,43,5%
26119,Montmorency,2020-05-29,0,5%
26121,Muskegon,2020-05-29,73,5%
26123,Newaygo,2020-05-29,36,5%
26125,Oakland,2020-05-29,1910,5%
26127,Oceana,2020-05-29,2,5%
26129,Ogemaw,2020-05-29,0,5%
26131,Ontonagon,2020-05-29,0,5%
26133,Osceola,2020-05-29,1,5%
26135,Oscoda,2020-05-29,0,5%
26137,Otsego,2020-05-29,0,5%
26139,Ottawa,2020-05-29,328,5%
26141,Presque Isle,2020-05-29,0,5%
26143,Roscommon,2020-05-29,0,5%
26145,Saginaw,2020-05-29,19,5%
26147,St. Clair,2020-05-29,198,5%
26149,St. Joseph,2020-05-29,5,5%
26151,Sanilac,2020-05-29,29,5%
26153,Schoolcraft,2020-05-29,0,5%
26155,Shiawassee,2020-05-29,48,5%
26157,Tuscola,2020-05-29,3,5%
26159,Van Buren,2020-05-29,6,5%
26161,Washtenaw,2020-05-29,448,5%
26163,Wayne,2020-05-29,3123,5%
26165,Wexford,2020-05-29,1,5%
26001,Alcona,2020-05-30,0,5%
26003,Alger,2020-05-30,0,5%
26005,Allegan,2020-05-30,123,5%
26007,Alpena,2020-05-30,0,5%
26009,Antrim,2020-05-30,0,5%
26011,Arenac,2020-05-30,0,5%
26013,Baraga,2020-05-30,0,5%
26015,Barry,2020-05-30,59,5%
26017,Bay,2020-05-30,5,5%
26019,Benzie,2020-05-30,0,5%
26021,Berrien,2020-05-30,94,5%
26023,Branch,2020-05-30,1,5%
26025,Calhoun,2020-05-30,20,5%
26027,Cass,2020-05-30,39,5%
26029,Charlevoix,2020-05-30,0,5%
26031,Cheboygan,2020-05-30,0,5%
26033,Chippewa,2020-05-30,0,5%
26035,Clare,2020-05-30,1,5%
26037,Clinton,2020-05-30,119,5%
26039,Crawford,2020-05-30,0,5%
26041,Delta,2020-05-30,0,5%
26043,Dickinson,2020-05-30,0,5%
26045,Eaton,2020-05-30,168,5%
26047,Emmet,2020-05-30,0,5%
26049,Genesee,2020-05-30,256,5%
26051,Gladwin,2020-05-30,0,5%
26053,Gogebic,2020-05-30,0,5%
26055,Grand Traverse,2020-05-30,3,5%
26057,Gratiot,2020-05-30,38,5%
26059,Hillsdale,2020-05-30,7,5%
26061,Houghton,2020-05-30,0,5%
26063,Huron,2020-05-30,0,5%
26065,Ingham,2020-05-30,425,5%
26067,Ionia,2020-05-30,108,5%
26069,Iosco,2020-05-30,0,5%
26071,Iron,2020-05-30,0,5%
26073,Isabella,2020-05-30,39,5%
26075,Jackson,2020-05-30,160,5%
26077,Kalamazoo,2020-05-30,43,5%
26079,Kalkaska,2020-05-30,0,5%
26081,Kent,2020-05-30,834,5%
26083,Keweenaw,2020-05-30,0,5%
26085,Lake,2020-05-30,0,5%
26087,Lapeer,2020-05-30,81,5%
26089,Leelanau,2020-05-30,0,5%
26091,Lenawee,2020-05-30,105,5%
26093,Livingston,2020-05-30,330,5%
26095,Luce,2020-05-30,0,5%
26097,Mackinac,2020-05-30,0,5%
26099,Macomb,2020-05-30,1288,5%
26101,Manistee,2020-05-30,0,5%
26103,Marquette,2020-05-30,0,5%
26105,Mason,2020-05-30,0,5%
26107,Mecosta,2020-05-30,43,5%
26109,Menominee,2020-05-30,0,5%
26111,Midland,2020-05-30,3,5%
26113,Missaukee,2020-05-30,0,5%
26115,Monroe,2020-05-30,184,5%
26117,Montcalm,2020-05-30,38,5%
26119,Montmorency,2020-05-30,0,5%
26121,Muskegon,2020-05-30,78,5%
26123,Newaygo,2020-05-30,41,5%
26125,Oakland,2020-05-30,1882,5%
26127,Oceana,2020-05-30,2,5%
26129,Ogemaw,2020-05-30,0,5%
26131,Ontonagon,2020-05-30,0,5%
26133,Osceola,2020-05-30,1,5%
26135,Oscoda,2020-05-30,0,5%
26137,Otsego,2020-05-30,0,5%
26139,Ottawa,2020-05-30,354,5%
26141,Presque Isle,2020-05-30,0,5%
26143,Roscommon,2020-05-30,0,5%
26145,Saginaw,2020-05-30,23,5%
26147,St. Clair,2020-05-30,194,5%
26149,St. Joseph,2020-05-30,7,5%
26151,Sanilac,2020-05-30,35,5%
26153,Schoolcraft,2020-05-30,0,5%
26155,Shiawassee,2020-05-30,51,5%
26157,Tuscola,2020-05-30,4,5%
26159,Van Buren,2020-05-30,6,5%
26161,Washtenaw,2020-05-30,414,5%
26163,Wayne,2020-05-30,2964,5%
26165,Wexford,2020-05-30,1,5%
26001,Alcona,2020-05-31,0,5%
26003,Alger,2020-05-31,0,5%
26005,Allegan,2020-05-31,121,5%
26007,Alpena,2020-05-31,0,5%
26009,Antrim,2020-05-31,0,5%
26011,Arenac,2020-05-31,0,5%
26013,Baraga,2020-05-31,0,5%
26015,Barry,2020-05-31,64,5%
26017,Bay,2020-05-31,6,5%
26019,Benzie,2020-05-31,0,5%
26021,Berrien,2020-05-31,98,5%
26023,Branch,2020-05-31,1,5%
26025,Calhoun,2020-05-31,21,5%
26027,Cass,2020-05-31,46,5%
26029,Charlevoix,2020-05-31,0,5%
26031,Cheboygan,2020-05-31,0,5%
26033,Chippewa,2020-05-31,0,5%
26035,Clare,2020-05-31,2,5%
26037,Clinton,2020-05-31,124,5%
26039,Crawford,2020-05-31,0,5%
26041,Delta,2020-05-31,0,5%
26043,Dickinson,2020-05-31,0,5%
26045,Eaton,2020-05-31,177,5%
26047,Emmet,2020-05-31,0,5%
26049,Genesee,2020-05-31,278,5%
26051,Gladwin,2020-05-31,0,5%
26053,Gogebic,2020-05-31,0,5%
26055,Grand Traverse,2020-05-31,3,5%
26057,Gratiot,2020-05-31,44,5%
26059,Hillsdale,2020-05-31,7,5%
26061,Houghton,2020-05-31,0,5%
26063,Huron,2020-05-31,0,5%
26065,Ingham,2020-05-31,419,5%
26067,Ionia,2020-05-31,112,5%
26069,Iosco,2020-05-31,0,5%
26071,Iron,2020-05-31,0,5%
26073,Isabella,2020-05-31,42,5%
26075,Jackson,2020-05-31,168,5%
26077,Kalamazoo,2020-05-31,49,5%
26079,Kalkaska,2020-05-31,0,5%
26081,Kent,2020-05-31,787,5%
26083,Keweenaw,2020-05-31,0,5%
26085,Lake,2020-05-31,0,5%
26087,Lapeer,2020-05-31,84,5%
26089,Leelanau,2020-05-31,0,5%
26091,Lenawee,2020-05-31,114,5%
26093,Livingston,2020-05-31,339,5%
26095,Luce,2020-05-31,0,5%
26097,Mackinac,2020-05-31,0,5%
26099,Macomb,2020-05-31,1377,5%
26101,Manistee,2020-05-31,0,5%
26103,Marquette,2020-05-31,0,5%
26105,Mason,2020-05-31,0,5%
26107,Mecosta,2020-05-31,49,5%
26109,Menominee,2020-05-31,0,5%
26111,Midland,2020-05-31,3,5%
26113,Missaukee,2020-05-31,0,5%
26115,Monroe,2020-05-31,205,5%
26117,Montcalm,2020-05-31,37,5%
26119,Montmorency,2020-05-31,0,5%
26121,Muskegon,2020-05-31,84,5%
26123,Newaygo,2020-05-31,46,5%
26125,Oakland,2020-05-31,1869,5%
26127,Oceana,2020-05-31,3,5%
26129,Ogemaw,2020-05-31,0,5%
26131,Ontonagon,2020-05-31,0,5%
26133,Osceola,2020-05-31,1,5%
26135,Oscoda,2020-05-31,0,5%
26137,Otsego,2020-05-31,0,5%
26139,Ottawa,2020-05-31,369,5%
26141,Presque Isle,2020-05-31,0,5%
26143,Roscommon,2020-05-31,0,5%
26145,Saginaw,2020-05-31,26,5%
26147,St. Clair,2020-05-31,175,5%
26149,St. Joseph,2020-05-31,7,5%
26151,Sanilac,2020-05-31,40,5%
26153,Schoolcraft,2020-05-31,0,5%
26155,Shiawassee,2020-05-31,59,5%
26157,Tuscola,2020-05-31,4,5%
26159,Van Buren,2020-05-31,8,5%
26161,Washtenaw,2020-05-31,377,5%
26163,Wayne,2020-05-31,2853,5%
26165,Wexford,2020-05-31,1,5%
26001,Alcona,2020-06-01,0,5%
26003,Alger,2020-06-01,0,5%
26005,Allegan,2020-06-01,137,5%
26007,Alpena,2020-06-01,0,5%
26009,Antrim,2020-06-01,0,5%
26011,Arenac,2020-06-01,0,5%
26013,Baraga,2020-06-01,0,5%
26015,Barry,2020-06-01,73,5%
26017,Bay,2020-06-01,8,5%
26019,Benzie,2020-06-01,0,5%
26021,Berrien,2020-06-01,113,5%
26023,Branch,2020-06-01,1,5%
26025,Calhoun,2020-06-01,26,5%
26027,Cass,2020-06-01,46,5%
26029,Charlevoix,2020-06-01,0,5%
26031,Cheboygan,2020-06-01,0,5%
26033,Chippewa,2020-06-01,0,5%
26035,Clare,2020-06-01,1,5%
26037,Clinton,2020-06-01,119,5%
26039,Crawford,2020-06-01,0,5%
26041,Delta,2020-06-01,0,5%
26043,Dickinson,2020-06-01,0,5%
26045,Eaton,2020-06-01,180,5%
26047,Emmet,2020-06-01,0,5%
26049,Genesee,2020-06-01,315,5%
26051,Gladwin,2020-06-01,0,5%
26053,Gogebic,2020-06-01,0,5%
26055,Grand Traverse,2020-06-01,4,5%
26057,Gratiot,2020-06-01,42,5%
26059,Hillsdale,2020-06-01,9,5%
26061,Houghton,2020-06-01,0,5%
26063,Huron,2020-06-01,1,5%
26065,Ingham,2020-06-01,391,5%
26067,Ionia,2020-06-01,116,5%
26069,Iosco,2020-06-01,0,5%
26071,Iron,2020-06-01,0,5%
26073,Isabella,2020-06-01,49,5%
26075,Jackson,2020-06-01,188,5%
26077,Kalamazoo,2020-06-01,58,5%
26079,Kalkaska,2020-06-01,0,5%
26081,Kent,2020-06-01,729,5%
26083,Keweenaw,2020-06-01,0,5%
26085,Lake,2020-06-01,0,5%
26087,Lapeer,2020-06-01,98,5%
26089,Leelanau,2020-06-01,0,5%
26091,Lenawee,2020-06-01,130,5%
26093,Livingston,2020-06-01,323,5%
26095,Luce,2020-06-01,0,5%
26097,Mackinac,2020-06-01,0,5%
26099,Macomb,2020-06-01,1473,5%
26101,Manistee,2020-06-01,0,5%
26103,Marquette,2020-06-01,0,5%
26105,Mason,2020-06-01,0,5%
26107,Mecosta,2020-06-01,53,5%
26109,Menominee,2020-06-01,0,5%
26111,Midland,2020-06-01,3,5%
26113,Missaukee,2020-06-01,0,5%
26115,Monroe,2020-06-01,211,5%
26117,Montcalm,2020-06-01,34,5%
26119,Montmorency,2020-06-01,0,5%
26121,Muskegon,2020-06-01,104,5%
26123,Newaygo,2020-06-01,49,5%
26125,Oakland,2020-06-01,1734,5%
26127,Oceana,2020-06-01,3,5%
26129,Ogemaw,2020-06-01,0,5%
26131,Ontonagon,2020-06-01,0,5%
26133,Osceola,2020-06-01,2,5%
26135,Oscoda,2020-06-01,0,5%
26137,Otsego,2020-06-01,0,5%
26139,Ottawa,2020-06-01,397,5%
26141,Presque Isle,2020-06-01,0,5%
26143,Roscommon,2020-06-01,0,5%
26145,Saginaw,2020-06-01,29,5%
26147,St. Clair,2020-06-01,165,5%
26149,St. Joseph,2020-06-01,8,5%
26151,Sanilac,2020-06-01,47,5%
26153,Schoolcraft,2020-06-01,0,5%
26155,Shiawassee,2020-06-01,67,5%
26157,Tuscola,2020-06-01,5,5%
26159,Van Buren,2020-06-01,9,5%
26161,Washtenaw,2020-06-01,349,5%
26163,Wayne,2020-06-01,2741,5%
26165,Wexford,2020-06-01,1,5%
26001,Alcona,2020-06-02,0,5%
26003,Alger,2020-06-02,0,5%
26005,Allegan,2020-06-02,147,5%
26007,Alpena,2020-06-02,0,5%
26009,Antrim,2020-06-02,0,5%
26011,Arenac,2020-06-02,0,5%
26013,Baraga,2020-06-02,0,5%
26015,Barry,2020-06-02,79,5%
26017,Bay,2020-06-02,7,5%
26019,Benzie,2020-06-02,0,5%
26021,Berrien,2020-06-02,141,5%
26023,Branch,2020-06-02,2,5%
26025,Calhoun,2020-06-02,28,5%
26027,Cass,2020-06-02,55,5%
26029,Charlevoix,2020-06-02,0,5%
26031,Cheboygan,2020-06-02,0,5%
26033,Chippewa,2020-06-02,0,5%
26035,Clare,2020-06-02,2,5%
26037,Clinton,2020-06-02,132,5%
26039,Crawford,2020-06-02,0,5%
26041,Delta,2020-06-02,0,5%
26043,Dickinson,2020-06-02,0,5%
26045,Eaton,2020-06-02,184,5%
26047,Emmet,2020-06-02,0,5%
26049,Genesee,2020-06-02,349,5%
26051,Gladwin,2020-06-02,0,5%
26053,Gogebic,2020-06-02,0,5%
26055,Grand Traverse,2020-06-02,5,5%
26057,Gratiot,2020-06-02,46,5%
26059,Hillsdale,2020-06-02,9,5%
26061,Houghton,2020-06-02,0,5%
26063,Huron,2020-06-02,1,5%
26065,Ingham,2020-06-02,371,5%
26067,Ionia,2020-06-02,118,5%
26069,Iosco,2020-06-02,0,5%
26071,Iron,2020-06-02,0,5%
26073,Isabella,2020-06-02,53,5%
26075,Jackson,2020-06-02,203,5%
26077,Kalamazoo,2020-06-02,68,5%
26079,Kalkaska,2020-06-02,0,5%
26081,Kent,2020-06-02,682,5%
26083,Keweenaw,2020-06-02,0,5%
26085,Lake,2020-06-02,0,5%
26087,Lapeer,2020-06-02,113,5%
26089,Leelanau,2020-06-02,0,5%
26091,Lenawee,2020-06-02,137,5%
26093,Livingston,2020-06-02,330,5%
26095,Luce,2020-06-02,0,5%
26097,Mackinac,2020-06-02,0,5%
26099,Macomb,2020-06-02,1562,5%
26101,Manistee,2020-06-02,0,5%
26103,Marquette,2020-06-02,0,5%
26105,Mason,2020-06-02,0,5%
26107,Mecosta,2020-06-02,56,5%
26109,Menominee,2020-06-02,0,5%
26111,Midland,2020-06-02,4,5%
26113,Missaukee,2020-06-02,0,5%
26115,Monroe,2020-06-02,238,5%
26117,Montcalm,2020-06-02,30,5%
26119,Montmorency,2020-06-02,0,5%
26121,Muskegon,2020-06-02,103,5%
26123,Newaygo,2020-06-02,51,5%
26125,Oakland,2020-06-02,1653,5%
26127,Oceana,2020-06-02,3,5%
26129,Ogemaw,2020-06-02,0,5%
26131,Ontonagon,2020-06-02,0,5%
26133,Osceola,2020-06-02,2,5%
26135,Oscoda,2020-06-02,0,5%
26137,Otsego,2020-06-02,0,5%
26139,Ottawa,2020-06-02,409,5%
26141,Presque Isle,2020-06-02,0,5%
26143,Roscommon,2020-06-02,1,5%
26145,Saginaw,2020-06-02,34,5%
26147,St. Clair,2020-06-02,152,5%
26149,St. Joseph,2020-06-02,10,5%
26151,Sanilac,2020-06-02,47,5%
26153,Schoolcraft,2020-06-02,0,5%
26155,Shiawassee,2020-06-02,72,5%
26157,Tuscola,2020-06-02,5,5%
26159,Van Buren,2020-06-02,12,5%
26161,Washtenaw,2020-06-02,325,5%
26163,Wayne,2020-06-02,2630,5%
26165,Wexford,2020-06-02,1,5%
26001,Alcona,2020-06-03,0,5%
26003,Alger,2020-06-03,0,5%
26005,Allegan,2020-06-03,166,5%
26007,Alpena,2020-06-03,0,5%
26009,Antrim,2020-06-03,0,5%
26011,Arenac,2020-06-03,0,5%
26013,Baraga,2020-06-03,0,5%
26015,Barry,2020-06-03,86,5%
26017,Bay,2020-06-03,9,5%
26019,Benzie,2020-06-03,0,5%
26021,Berrien,2020-06-03,136,5%
26023,Branch,2020-06-03,2,5%
26025,Calhoun,2020-06-03,31,5%
26027,Cass,2020-06-03,57,5%
26029,Charlevoix,2020-06-03,0,5%
26031,Cheboygan,2020-06-03,0,5%
26033,Chippewa,2020-06-03,0,5%
26035,Clare,2020-06-03,2,5%
26037,Clinton,2020-06-03,132,5%
26039,Crawford,2020-06-03,0,5%
26041,Delta,2020-06-03,0,5%
26043,Dickinson,2020-06-03,0,5%
26045,Eaton,2020-06-03,190,5%
26047,Emmet,2020-06-03,0,5%
26049,Genesee,2020-06-03,392,5%
26051,Gladwin,2020-06-03,0,5%
26053,Gogebic,2020-06-03,0,5%
26055,Grand Traverse,2020-06-03,5,5%
26057,Gratiot,2020-06-03,50,5%
26059,Hillsdale,2020-06-03,12,5%
26061,Houghton,2020-06-03,0,5%
26063,Huron,2020-06-03,1,5%
26065,Ingham,2020-06-03,350,5%
26067,Ionia,2020-06-03,122,5%
26069,Iosco,2020-06-03,0,5%
26071,Iron,2020-06-03,0,5%
26073,Isabella,2020-06-03,62,5%
26075,Jackson,2020-06-03,224,5%
26077,Kalamazoo,2020-06-03,82,5%
26079,Kalkaska,2020-06-03,0,5%
26081,Kent,2020-06-03,622,5%
26083,Keweenaw,2020-06-03,0,5%
26085,Lake,2020-06-03,0,5%
26087,Lapeer,2020-06-03,114,5%
26089,Leelanau,2020-06-03,0,5%
26091,Lenawee,2020-06-03,142,5%
26093,Livingston,2020-06-03,337,5%
26095,Luce,2020-06-03,0,5%
26097,Mackinac,2020-06-03,0,5%
26099,Macomb,2020-06-03,1571,5%
26101,Manistee,2020-06-03,0,5%
26103,Marquette,2020-06-03,0,5%
26105,Mason,2020-06-03,1,5%
26107,Mecosta,2020-06-03,62,5%
26109,Menominee,2020-06-03,0,5%
26111,Midland,2020-06-03,4,5%
26113,Missaukee,2020-06-03,0,5%
26115,Monroe,2020-06-03,243,5%
26117,Montcalm,2020-06-03,26,5%
26119,Montmorency,2020-06-03,0,5%
26121,Muskegon,2020-06-03,114,5%
26123,Newaygo,2020-06-03,58,5%
26125,Oakland,2020-06-03,1565,5%
26127,Oceana,2020-06-03,3,5%
26129,Ogemaw,2020-06-03,0,5%
26131,Ontonagon,2020-06-03,0,5%
26133,Osceola,2020-06-03,2,5%
26135,Oscoda,2020-06-03,0,5%
26137,Otsego,2020-06-03,0,5%
26139,Ottawa,2020-06-03,439,5%
26141,Presque Isle,2020-06-03,0,5%
26143,Roscommon,2020-06-03,1,5%
26145,Saginaw,2020-06-03,39,5%
26147,St. Clair,2020-06-03,143,5%
26149,St. Joseph,2020-06-03,12,5%
26151,Sanilac,2020-06-03,49,5%
26153,Schoolcraft,2020-06-03,0,5%
26155,Shiawassee,2020-06-03,83,5%
26157,Tuscola,2020-06-03,7,5%
26159,Van Buren,2020-06-03,11,5%
26161,Washtenaw,2020-06-03,297,5%
26163,Wayne,2020-06-03,2452,5%
26165,Wexford,2020-06-03,2,5%
26001,Alcona,2020-06-04,0,5%
26003,Alger,2020-06-04,0,5%
26005,Allegan,2020-06-04,176,5%
26007,Alpena,2020-06-04,0,5%
26009,Antrim,2020-06-04,0,5%
26011,Arenac,2020-06-04,0,5%
26013,Baraga,2020-06-04,0,5%
26015,Barry,2020-06-04,92,5%
26017,Bay,2020-06-04,9,5%
26019,Benzie,2020-06-04,0,5%
26021,Berrien,2020-06-04,155,5%
26023,Branch,2020-06-04,2,5%
26025,Calhoun,2020-06-04,34,5%
26027,Cass,2020-06-04,65,5%
26029,Charlevoix,2020-06-04,0,5%
26031,Cheboygan,2020-06-04,0,5%
26033,Chippewa,2020-06-04,0,5%
26035,Clare,2020-06-04,3,5%
26037,Clinton,2020-06-04,132,5%
26039,Crawford,2020-06-04,0,5%
26041,Delta,2020-06-04,0,5%
26043,Dickinson,2020-06-04,0,5%
26045,Eaton,2020-06-04,195,5%
26047,Emmet,2020-06-04,1,5%
26049,Genesee,2020-06-04,435,5%
26051,Gladwin,2020-06-04,0,5%
26053,Gogebic,2020-06-04,0,5%
26055,Grand Traverse,2020-06-04,5,5%
26057,Gratiot,2020-06-04,58,5%
26059,Hillsdale,2020-06-04,13,5%
26061,Houghton,2020-06-04,0,5%
26063,Huron,2020-06-04,1,5%
26065,Ingham,2020-06-04,309,5%
26067,Ionia,2020-06-04,123,5%
26069,Iosco,2020-06-04,0,5%
26071,Iron,2020-06-04,0,5%
26073,Isabella,2020-06-04,66,5%
26075,Jackson,2020-06-04,233,5%
26077,Kalamazoo,2020-06-04,84,5%
26079,Kalkaska,2020-06-04,0,5%
26081,Kent,2020-06-04,602,5%
26083,Keweenaw,2020-06-04,0,5%
26085,Lake,2020-06-04,0,5%
26087,Lapeer,2020-06-04,127,5%
26089,Leelanau,2020-06-04,0,5%
26091,Lenawee,2020-06-04,155,5%
26093,Livingston,2020-06-04,339,5%
26095,Luce,2020-06-04,0,5%
26097,Mackinac,2020-06-04,0,5%
26099,Macomb,2020-06-04,1523,5%
26101,Manistee,2020-06-04,0,5%
26103,Marquette,2020-06-04,0,5%
26105,Mason,2020-06-04,1,5%
26107,Mecosta,2020-06-04,64,5%
26109,Menominee,2020-06-04,0,5%
26111,Midland,2020-06-04,5,5%
26113,Missaukee,2020-06-04,0,5%
26115,Monroe,2020-06-04,256,5%
26117,Montcalm,2020-06-04,24,5%
26119,Montmorency,2020-06-04,0,5%
26121,Muskegon,2020-06-04,140,5%
26123,Newaygo,2020-06-04,62,5%
26125,Oakland,2020-06-04,1505,5%
26127,Oceana,2020-06-04,5,5%
26129,Ogemaw,2020-06-04,0,5%
26131,Ontonagon,2020-06-04,0,5%
26133,Osceola,2020-06-04,3,5%
26135,Oscoda,2020-06-04,0,5%
26137,Otsego,2020-06-04,0,5%
26139,Ottawa,2020-06-04,454,5%
26141,Presque Isle,2020-06-04,0,5%
26143,Roscommon,2020-06-04,0,5%
26145,Saginaw,2020-06-04,42,5%
26147,St. Clair,2020-06-04,129,5%
26149,St. Joseph,2020-06-04,13,5%
26151,Sanilac,2020-06-04,56,5%
26153,Schoolcraft,2020-06-04,0,5%
26155,Shiawassee,2020-06-04,84,5%
26157,Tuscola,2020-06-04,7,5%
26159,Van Buren,2020-06-04,13,5%
26161,Washtenaw,2020-06-04,272,5%
26163,Wayne,2020-06-04,2407,5%
26165,Wexford,2020-06-04,2,5%
26001,Alcona,2020-06-05,0,5%
26003,Alger,2020-06-05,0,5%
26005,Allegan,2020-06-05,182,5%
26007,Alpena,2020-06-05,0,5%
26009,Antrim,2020-06-05,0,5%
26011,Arenac,2020-06-05,0,5%
26013,Baraga,2020-06-05,0,5%
26015,Barry,2020-06-05,93,5%
26017,Bay,2020-06-05,12,5%
26019,Benzie,2020-06-05,0,5%
26021,Berrien,2020-06-05,160,5%
26023,Branch,2020-06-05,3,5%
26025,Calhoun,2020-06-05,41,5%
26027,Cass,2020-06-05,64,5%
26029,Charlevoix,2020-06-05,0,5%
26031,Cheboygan,2020-06-05,0,5%
26033,Chippewa,2020-06-05,0,5%
26035,Clare,2020-06-05,3,5%
26037,Clinton,2020-06-05,141,5%
26039,Crawford,2020-06-05,0,5%
26041,Delta,2020-06-05,0,5%
26043,Dickinson,2020-06-05,0,5%
26045,Eaton,2020-06-05,192,5%
26047,Emmet,2020-06-05,1,5%
26049,Genesee,2020-06-05,486,5%
26051,Gladwin,2020-06-05,1,5%
26053,Gogebic,2020-06-05,0,5%
26055,Grand Traverse,2020-06-05,6,5%
26057,Gratiot,2020-06-05,61,5%
26059,Hillsdale,2020-06-05,17,5%
26061,Houghton,2020-06-05,0,5%
26063,Huron,2020-06-05,1,5%
26065,Ingham,2020-06-05,290,5%
26067,Ionia,2020-06-05,122,5%
26069,Iosco,2020-06-05,0,5%
26071,Iron,2020-06-05,0,5%
26073,Isabella,2020-06-05,67,5%
26075,Jackson,2020-06-05,231,5%
26077,Kalamazoo,2020-06-05,98,5%
26079,Kalkaska,2020-06-05,0,5%
26081,Kent,2020-06-05,542,5%
26083,Keweenaw,2020-06-05,0,5%
26085,Lake,2020-06-05,0,5%
26087,Lapeer,2020-06-05,129,5%
26089,Leelanau,2020-06-05,1,5%
26091,Lenawee,2020-06-05,164,5%
26093,Livingston,2020-06-05,325,5%
26095,Luce,2020-06-05,0,5%
26097,Mackinac,2020-06-05,0,5%
26099,Macomb,2020-06-05,1545,5%
26101,Manistee,2020-06-05,0,5%
26103,Marquette,2020-06-05,1,5%
26105,Mason,2020-06-05,1,5%
26107,Mecosta,2020-06-05,69,5%
26109,Menominee,2020-06-05,0,5%
26111,Midland,2020-06-05,6,5%
26113,Missaukee,2020-06-05,0,5%
26115,Monroe,2020-06-05,263,5%
26117,Montcalm,2020-06-05,21,5%
26119,Montmorency,2020-06-05,0,5%
26121,Muskegon,2020-06-05,151,5%
26123,Newaygo,2020-06-05,63,5%
26125,Oakland,2020-06-05,1438,5%
26127,Oceana,2020-06-05,5,5%
26129,Ogemaw,2020-06-05,1,5%
26131,Ontonagon,2020-06-05,0,5%
26133,Osceola,2020-06-05,2,5%
26135,Oscoda,2020-06-05,0,5%
26137,Otsego,2020-06-05,0,5%
26139,Ottawa,2020-06-05,462,5%
26141,Presque Isle,2020-06-05,0,5%
26143,Roscommon,2020-06-05,1,5%
26145,Saginaw,2020-06-05,50,5%
26147,St. Clair,2020-06-05,116,5%
26149,St. Joseph,2020-06-05,14,5%
26151,Sanilac,2020-06-05,60,5%
26153,Schoolcraft,2020-06-05,0,5%
26155,Shiawassee,2020-06-05,93,5%
26157,Tuscola,2020-06-05,10,5%
26159,Van Buren,2020-06-05,15,5%
26161,Washtenaw,2020-06-05,258,5%
26163,Wayne,2020-06-05,2212,5%
26165,Wexford,2020-06-05,2,5%
26001,Alcona,2020-06-06,0,5%
26003,Alger,2020-06-06,0,5%
26005,Allegan,2020-06-06,190,5%
26007,Alpena,2020-06-06,0,5%
26009,Antrim,2020-06-06,0,5%
26011,Arenac,2020-06-06,0,5%
26013,Baraga,2020-06-06,0,5%
26015,Barry,2020-06-06,98,5%
26017,Bay,2020-06-06,12,5%
26019,Benzie,2020-06-06,0,5%
26021,Berrien,2020-06-06,183,5%
26023,Branch,2020-06-06,4,5%
26025,Calhoun,2020-06-06,44,5%
26027,Cass,2020-06-06,77,5%
26029,Charlevoix,2020-06-06,0,5%
26031,Cheboygan,2020-06-06,0,5%
26033,Chippewa,2020-06-06,0,5%
26035,Clare,2020-06-06,4,5%
26037,Clinton,2020-06-06,139,5%
26039,Crawford,2020-06-06,0,5%
26041,Delta,2020-06-06,0,5%
26043,Dickinson,2020-06-06,0,5%
26045,Eaton,2020-06-06,191,5%
26047,Emmet,2020-06-06,1,5%
26049,Genesee,2020-06-06,514,5%
26051,Gladwin,2020-06-06,1,5%
26053,Gogebic,2020-06-06,0,5%
26055,Grand Traverse,2020-06-06,8,5%
26057,Gratiot,2020-06-06,62,5%
26059,Hillsdale,2020-06-06,18,5%
26061,Houghton,2020-06-06,0,5%
26063,Huron,2020-06-06,2,5%
26065,Ingham,2020-06-06,277,5%
26067,Ionia,2020-06-06,121,5%
26069,Iosco,2020-06-06,0,5%
26071,Iron,2020-06-06,0,5%
26073,Isabella,2020-06-06,76,5%
26075,Jackson,2020-06-06,259,5%
26077,Kalamazoo,2020-06-06,110,5%
26079,Kalkaska,2020-06-06,0,5%
26081,Kent,2020-06-06,506,5%
26083,Keweenaw,2020-06-06,0,5%
26085,Lake,2020-06-06,0,5%
26087,Lapeer,2020-06-06,142,5%
26089,Leelanau,2020-06-06,1,5%
26091,Lenawee,2020-06-06,171,5%
